96 training users -> 4 folds
  fold 0:  24 users,  213 sessions | e.g. ['11372316', '14312238', '2396581']
  fold 1:  24 users,  206 sessions | e.g. ['11944098', '1438774', '25847138']
  fold 2:  24 users,  213 sessions | e.g. ['12565339', '18200807', '25915650']
  fold 3:  24 users,  205 sessions | e.g. ['13321435', '20676876', '26940776']
[split] fold 1: train on 72 users (631 sessions); HELD OUT 24 users (206 sessions)
[split] official test users: 16 sessions (never trained on in either mode)
[data] 174323 training windows of 4.0s
[data] monitor sets: 512 test windows, 512 fold-heldout windows
/data2/chenyuxiang/conda_envs/qwerty/lib/python3.10/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
[init] continued from /data2/chenyuxiang/runs/tf_fold1/last.pt (step 40000, fold 1); optimizer starts fresh
[model] featurizer [11, 3, 3]/[5, 2, 2] -> 100 Hz frames (400 per window)
[model] tiny: 2.12M total  (featurizer 0.08M  encoder 1.98M  decoder 0.01M)
/data2/chenyuxiang/conda_envs/qwerty/lib/python3.10/site-packages/torch/nn/modules/conv.py:306: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv1d(input, weight, bias, self.stride,
step 200/103000 | loss 1.5741 | lr 6.80e-05 | 576 win/s
[val] step 28000: 8-test-user CER 48.94 | fold-heldout-user CER 56.07  (their Tiny reference: 35.9)
step 28200/103000 | loss 1.7449 | lr 5.90e-04 | 444 win/s
step 28400/103000 | loss 1.7491 | lr 5.89e-04 | 444 win/s
step 28600/103000 | loss 1.7462 | lr 5.87e-04 | 444 win/s
step 28800/103000 | loss 1.7382 | lr 5.86e-04 | 444 win/s
step 29000/103000 | loss 1.7380 | lr 5.84e-04 | 445 win/s
step 29200/103000 | loss 1.7396 | lr 5.82e-04 | 445 win/s
step 29400/103000 | loss 1.7400 | lr 5.81e-04 | 445 win/s
step 29600/103000 | loss 1.7409 | lr 5.79e-04 | 446 win/s
step 29800/103000 | loss 1.7342 | lr 5.77e-04 | 446 win/s
step 30000/103000 | loss 1.7363 | lr 5.76e-04 | 447 win/s
step 30200/103000 | loss 1.7309 | lr 5.74e-04 | 447 win/s
step 30400/103000 | loss 1.7160 | lr 5.72e-04 | 447 win/s
step 30600/103000 | loss 1.7226 | lr 5.71e-04 | 448 win/s
step 30800/103000 | loss 1.7126 | lr 5.69e-04 | 448 win/s
step 31000/103000 | loss 1.7323 | lr 5.67e-04 | 448 win/s
step 31200/103000 | loss 1.7193 | lr 5.66e-04 | 449 win/s
step 31400/103000 | loss 1.7138 | lr 5.64e-04 | 449 win/s
step 31600/103000 | loss 1.7231 | lr 5.62e-04 | 449 win/s
step 31800/103000 | loss 1.7264 | lr 5.60e-04 | 450 win/s
step 32000/103000 | loss 1.7195 | lr 5.59e-04 | 450 win/s
[val] step 32000: 8-test-user CER 47.81 | fold-heldout-user CER 54.72  (their Tiny reference: 35.9)
[val] new best 47.81 -> best.pt
step 32200/103000 | loss 1.6966 | lr 5.57e-04 | 450 win/s
step 32400/103000 | loss 1.7046 | lr 5.55e-04 | 450 win/s
step 32600/103000 | loss 1.6951 | lr 5.53e-04 | 450 win/s
step 32800/103000 | loss 1.7218 | lr 5.52e-04 | 451 win/s
step 33000/103000 | loss 1.7263 | lr 5.50e-04 | 451 win/s
step 33200/103000 | loss 1.7091 | lr 5.48e-04 | 451 win/s
step 33400/103000 | loss 1.6927 | lr 5.46e-04 | 451 win/s
step 33600/103000 | loss 1.7044 | lr 5.44e-04 | 451 win/s
step 33800/103000 | loss 1.7026 | lr 5.43e-04 | 451 win/s
step 34000/103000 | loss 1.6928 | lr 5.41e-04 | 451 win/s
step 34200/103000 | loss 1.6969 | lr 5.39e-04 | 450 win/s
step 34400/103000 | loss 1.6944 | lr 5.37e-04 | 450 win/s
step 34600/103000 | loss 1.7067 | lr 5.35e-04 | 449 win/s
step 34800/103000 | loss 1.6992 | lr 5.33e-04 | 449 win/s
step 35000/103000 | loss 1.6841 | lr 5.32e-04 | 449 win/s
step 35200/103000 | loss 1.6930 | lr 5.30e-04 | 448 win/s
step 35400/103000 | loss 1.6856 | lr 5.28e-04 | 448 win/s
step 35600/103000 | loss 1.6894 | lr 5.26e-04 | 447 win/s
step 35800/103000 | loss 1.6881 | lr 5.24e-04 | 447 win/s
step 36000/103000 | loss 1.7010 | lr 5.22e-04 | 447 win/s
[val] step 36000: 8-test-user CER 48.45 | fold-heldout-user CER 54.97  (their Tiny reference: 35.9)
step 36200/103000 | loss 1.6919 | lr 5.20e-04 | 446 win/s
step 36400/103000 | loss 1.6889 | lr 5.18e-04 | 446 win/s
step 36600/103000 | loss 1.6762 | lr 5.17e-04 | 446 win/s
step 36800/103000 | loss 1.6723 | lr 5.15e-04 | 446 win/s
step 37000/103000 | loss 1.6738 | lr 5.13e-04 | 446 win/s
step 37200/103000 | loss 1.6864 | lr 5.11e-04 | 446 win/s
step 37400/103000 | loss 1.6657 | lr 5.09e-04 | 446 win/s
step 37600/103000 | loss 1.6565 | lr 5.07e-04 | 446 win/s
step 37800/103000 | loss 1.6704 | lr 5.05e-04 | 446 win/s
step 38000/103000 | loss 1.6607 | lr 5.03e-04 | 446 win/s
step 38200/103000 | loss 1.6542 | lr 5.01e-04 | 446 win/s
step 38400/103000 | loss 1.6436 | lr 4.99e-04 | 446 win/s
step 38600/103000 | loss 1.6399 | lr 4.97e-04 | 446 win/s
step 38800/103000 | loss 1.6690 | lr 4.95e-04 | 446 win/s
step 39000/103000 | loss 1.6782 | lr 4.93e-04 | 446 win/s
step 39200/103000 | loss 1.6431 | lr 4.91e-04 | 446 win/s
step 39400/103000 | loss 1.6545 | lr 4.89e-04 | 446 win/s
step 39600/103000 | loss 1.6674 | lr 4.87e-04 | 446 win/s
step 39800/103000 | loss 1.6375 | lr 4.85e-04 | 446 win/s
step 40000/103000 | loss 1.6535 | lr 4.83e-04 | 446 win/s
[val] step 40000: 8-test-user CER 47.92 | fold-heldout-user CER 54.45  (their Tiny reference: 35.9)
step 40200/103000 | loss 1.6407 | lr 4.81e-04 | 446 win/s
step 40400/103000 | loss 1.6377 | lr 4.79e-04 | 446 win/s
step 40600/103000 | loss 1.6295 | lr 4.77e-04 | 446 win/s
step 40800/103000 | loss 1.6321 | lr 4.75e-04 | 446 win/s
step 41000/103000 | loss 1.6227 | lr 4.73e-04 | 445 win/s
